# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.937091 eV
#    Energy (eV)      DOS 
        -13.24490874          0.00000000
        -13.24290874          0.00000000
        -13.24090874          0.00000000
        -13.23890874          0.00000000
        -13.23690874          0.00000000
        -13.23490874          0.00000000
        -13.23290874          0.00000000
        -13.23090874          0.00000000
        -13.22890874          0.00000000
        -13.22690874          0.00000000
        -13.22490874          0.00000000
        -13.22290874          0.00000000
        -13.22090874          0.00000000
        -13.21890874          0.00000000
        -13.21690874          0.00000000
        -13.21490874          0.00000000
        -13.21290874          0.00000000
        -13.21090874          0.00000000
        -13.20890874          0.00000000
        -13.20690874          0.00000000
        -13.20490874          0.00000000
        -13.20290874          0.00003024
        -13.20090874          0.00015105
        -13.19890874          0.00036411
        -13.19690874          0.00066941
        -13.19490874          0.00106695
        -13.19290874          0.00155674
        -13.19090874          0.00213878
        -13.18890874          0.00281305
        -13.18690874          0.00357957
        -13.18490874          0.00443834
        -13.18290874          0.00538935
        -13.18090874          0.00643260
        -13.17890874          0.00756810
        -13.17690874          0.00879584
        -13.17490874          0.01011582
        -13.17290874          0.01152805
        -13.17090874          0.01303253
        -13.16890874          0.01462925
        -13.16690874          0.01631821
        -13.16490874          0.01809941
        -13.16290874          0.01997286
        -13.16090874          0.02193856
        -13.15890874          0.02399649
        -13.15690874          0.02614668
        -13.15490874          0.02838910
        -13.15290874          0.03072377
        -13.15090874          0.03315068
        -13.14890874          0.03566984
        -13.14690874          0.03828124
        -13.14490874          0.04098489
        -13.14290874          0.04378078
        -13.14090874          0.04666892
        -13.13890874          0.04964929
        -13.13690874          0.05272192
        -13.13490874          0.05588678
        -13.13290874          0.05914389
        -13.13090874          0.06249325
        -13.12890874          0.06593485
        -13.12690874          0.06946869
        -13.12490874          0.07309478
        -13.12290874          0.07681311
        -13.12090874          0.08062368
        -13.11890874          0.08452650
        -13.11690874          0.08852156
        -13.11490874          0.09260887
        -13.11290874          0.09678842
        -13.11090874          0.10106021
        -13.10890874          0.10542425
        -13.10690874          0.10611140
        -13.10490874          0.10363555
        -13.10290874          0.10137490
        -13.10090874          0.09932946
        -13.09890874          0.09749923
        -13.09690874          0.09588421
        -13.09490874          0.09448439
        -13.09290874          0.09329979
        -13.09090874          0.09233039
        -13.08890874          0.09157620
        -13.08690874          0.09103722
        -13.08490874          0.09071345
        -13.08290874          0.09060488
        -13.08090874          0.09071152
        -13.07890874          0.09103338
        -13.07690874          0.09157044
        -13.07490874          0.09231774
        -13.07290874          0.09313335
        -13.07090874          0.09395202
        -13.06890874          0.09477378
        -13.06690874          0.09559860
        -13.06490874          0.09642651
        -13.06290874          0.09725749
        -13.06090874          0.09809154
        -13.05890874          0.09892867
        -13.05690874          0.09976887
        -13.05490874          0.10061215
        -13.05290874          0.10145851
        -13.05090874          0.10230794
        -13.04890874          0.10316044
        -13.04690874          0.10401602
        -13.04490874          0.10487468
        -13.04290874          0.10573641
        -13.04090874          0.10660122
        -13.03890874          0.10746910
        -13.03690874          0.10834005
        -13.03490874          0.10921409
        -13.03290874          0.11009119
        -13.03090874          0.11097138
        -13.02890874          0.11185464
        -13.02690874          0.11274097
        -13.02490874          0.11363038
        -13.02290874          0.11452286
        -13.02090874          0.11541842
        -13.01890874          0.11631706
        -13.01690874          0.11721877
        -13.01490874          0.11812355
        -13.01290874          0.11903141
        -13.01090874          0.11994235
        -13.00890874          0.12085636
        -13.00690874          0.12177345
        -13.00490874          0.12269361
        -13.00290874          0.12361684
        -13.00090874          0.12454316
        -12.99890874          0.12547254
        -12.99690874          0.12640501
        -12.99490874          0.12734054
        -12.99290874          0.12827916
        -12.99090874          0.12922085
        -12.98890874          0.13016561
        -12.98690874          0.13111345
        -12.98490874          0.13206436
        -12.98290874          0.13301835
        -12.98090874          0.13397542
        -12.97890874          0.13493556
        -12.97690874          0.13589877
        -12.97490874          0.13686507
        -12.97290874          0.13783443
        -12.97090874          0.13880687
        -12.96890874          0.13978239
        -12.96690874          0.14076098
        -12.96490874          0.14174265
        -12.96290874          0.14272739
        -12.96090874          0.14371521
        -12.95890874          0.14470610
        -12.95690874          0.14570007
        -12.95490874          0.14669711
        -12.95290874          0.14769723
        -12.95090874          0.14870043
        -12.94890874          0.14970670
        -12.94690874          0.15071604
        -12.94490874          0.15172725
        -12.94290874          0.15272292
        -12.94090874          0.15369733
        -12.93890874          0.15465048
        -12.93690874          0.15558237
        -12.93490874          0.15649300
        -12.93290874          0.15738237
        -12.93090874          0.15825049
        -12.92890874          0.15909735
        -12.92690874          0.15992294
        -12.92490874          0.16072728
        -12.92290874          0.16151036
        -12.92090874          0.16227218
        -12.91890874          0.16301274
        -12.91690874          0.16373205
        -12.91490874          0.16443009
        -12.91290874          0.16510688
        -12.91090874          0.16576241
        -12.90890874          0.16639668
        -12.90690874          0.16700969
        -12.90490874          0.16760144
        -12.90290874          0.16817193
        -12.90090874          0.16872117
        -12.89890874          0.16924914
        -12.89690874          0.16975586
        -12.89490874          0.17024132
        -12.89290874          0.17070552
        -12.89090874          0.17114846
        -12.88890874          0.17157014
        -12.88690874          0.17197056
        -12.88490874          0.17234973
        -12.88290874          0.17270764
        -12.88090874          0.17304428
        -12.87890874          0.17335967
        -12.87690874          0.17365380
        -12.87490874          0.17392667
        -12.87290874          0.17417829
        -12.87090874          0.17440864
        -12.86890874          0.17461774
        -12.86690874          0.17480557
        -12.86490874          0.17497215
        -12.86290874          0.17511747
        -12.86090874          0.17524153
        -12.85890874          0.17534433
        -12.85690874          0.17542588
        -12.85490874          0.17548616
        -12.85290874          0.17552519
        -12.85090874          0.17554295
        -12.84890874          0.17553946
        -12.84690874          0.17557438
        -12.84490874          0.17578267
        -12.84290874          0.17601279
        -12.84090874          0.17626474
        -12.83890874          0.17653853
        -12.83690874          0.17683414
        -12.83490874          0.17715159
        -12.83290874          0.17749087
        -12.83090874          0.17785198
        -12.82890874          0.17823492
        -12.82690874          0.17863969
        -12.82490874          0.17906629
        -12.82290874          0.17951473
        -12.82090874          0.17998499
        -12.81890874          0.18047709
        -12.81690874          0.18099101
        -12.81490874          0.18152301
        -12.81290874          0.18205733
        -12.81090874          0.18259221
        -12.80890874          0.18312766
        -12.80690874          0.18366368
        -12.80490874          0.18420026
        -12.80290874          0.18473741
        -12.80090874          0.18527512
        -12.79890874          0.18581340
        -12.79690874          0.18635225
        -12.79490874          0.18689166
        -12.79290874          0.18743164
        -12.79090874          0.18797219
        -12.78890874          0.18851330
        -12.78690874          0.18905498
        -12.78490874          0.18959722
        -12.78290874          0.19014004
        -12.78090874          0.19068341
        -12.77890874          0.19122736
        -12.77690874          0.19177187
        -12.77490874          0.19231694
        -12.77290874          0.19286259
        -12.77090874          0.19340879
        -12.76890874          0.19395557
        -12.76690874          0.19450291
        -12.76490874          0.19505082
        -12.76290874          0.19559929
        -12.76090874          0.19614833
        -12.75890874          0.19669794
        -12.75690874          0.19724811
        -12.75490874          0.19779885
        -12.75290874          0.19835016
        -12.75090874          0.19890203
        -12.74890874          0.19945447
        -12.74690874          0.20000747
        -12.74490874          0.20056104
        -12.74290874          0.20111518
        -12.74090874          0.20166988
        -12.73890874          0.20222515
        -12.73690874          0.20278099
        -12.73490874          0.20333739
        -12.73290874          0.20389436
        -12.73090874          0.20445189
        -12.72890874          0.20500999
        -12.72690874          0.20556866
        -12.72490874          0.20612789
        -12.72290874          0.20668769
        -12.72090874          0.20724806
        -12.71890874          0.20780899
        -12.71690874          0.20837049
        -12.71490874          0.20893255
        -12.71290874          0.20949519
        -12.71090874          0.21005838
        -12.70890874          0.21062215
        -12.70690874          0.21118648
        -12.70490874          0.21175137
        -12.70290874          0.21231683
        -12.70090874          0.21288286
        -12.69890874          0.21344946
        -12.69690874          0.21401662
        -12.69490874          0.21458435
        -12.69290874          0.21515264
        -12.69090874          0.21572150
        -12.68890874          0.21629093
        -12.68690874          0.21686092
        -12.68490874          0.21743148
        -12.68290874          0.21800261
        -12.68090874          0.21857437
        -12.67890874          0.21914692
        -12.67690874          0.21972024
        -12.67490874          0.22029433
        -12.67290874          0.22086921
        -12.67090874          0.22144487
        -12.66890874          0.22202130
        -12.66690874          0.22259851
        -12.66490874          0.22317649
        -12.66290874          0.22375526
        -12.66090874          0.22433480
        -12.65890874          0.22491513
        -12.65690874          0.22549623
        -12.65490874          0.22607810
        -12.65290874          0.22666076
        -12.65090874          0.22724419
        -12.64890874          0.22782840
        -12.64690874          0.22841339
        -12.64490874          0.22899916
        -12.64290874          0.22958570
        -12.64090874          0.23017303
        -12.63890874          0.23076113
        -12.63690874          0.23135000
        -12.63490874          0.23193966
        -12.63290874          0.23253009
        -12.63090874          0.23312131
        -12.62890874          0.23371330
        -12.62690874          0.23430607
        -12.62490874          0.23489961
        -12.62290874          0.23549393
        -12.62090874          0.23608904
        -12.61890874          0.23668492
        -12.61690874          0.23728157
        -12.61490874          0.23787901
        -12.61290874          0.23847722
        -12.61090874          0.23907621
        -12.60890874          0.23967598
        -12.60690874          0.24027653
        -12.60490874          0.24087785
        -12.60290874          0.24147996
        -12.60090874          0.24208284
        -12.59890874          0.24268650
        -12.59690874          0.24329093
        -12.59490874          0.24389615
        -12.59290874          0.24450214
        -12.59090874          0.24510891
        -12.58890874          0.24539997
        -12.58690874          0.24539193
        -12.58490874          0.24540689
        -12.58290874          0.24544487
        -12.58090874          0.24550586
        -12.57890874          0.24558987
        -12.57690874          0.24569689
        -12.57490874          0.24582692
        -12.57290874          0.24597997
        -12.57090874          0.24615603
        -12.56890874          0.24635510
        -12.56690874          0.24657719
        -12.56490874          0.24682229
        -12.56290874          0.24709041
        -12.56090874          0.24738154
        -12.55890874          0.24769568
        -12.55690874          0.24803283
        -12.55490874          0.24839274
        -12.55290874          0.24876084
        -12.55090874          0.24912851
        -12.54890874          0.24949576
        -12.54690874          0.24986259
        -12.54490874          0.25022899
        -12.54290874          0.25059496
        -12.54090874          0.25096051
        -12.53890874          0.25132564
        -12.53690874          0.25169034
        -12.53490874          0.25205461
        -12.53290874          0.25241846
        -12.53090874          0.25278189
        -12.52890874          0.25314489
        -12.52690874          0.25350746
        -12.52490874          0.25386961
        -12.52290874          0.25423134
        -12.52090874          0.25459264
        -12.51890874          0.25495351
        -12.51690874          0.25531396
        -12.51490874          0.25567399
        -12.51290874          0.25603359
        -12.51090874          0.25639276
        -12.50890874          0.25675151
        -12.50690874          0.25710984
        -12.50490874          0.25746774
        -12.50290874          0.25782521
        -12.50090874          0.25818226
        -12.49890874          0.25853889
        -12.49690874          0.25889509
        -12.49490874          0.25925086
        -12.49290874          0.25960621
        -12.49090874          0.25996114
        -12.48890874          0.26031564
        -12.48690874          0.26066971
        -12.48490874          0.26102336
        -12.48290874          0.26137659
        -12.48090874          0.26172939
        -12.47890874          0.26208176
        -12.47690874          0.26243371
        -12.47490874          0.26278524
        -12.47290874          0.26313634
        -12.47090874          0.26348701
        -12.46890874          0.26383726
        -12.46690874          0.26418709
        -12.46490874          0.26453649
        -12.46290874          0.26488546
        -12.46090874          0.26523401
        -12.45890874          0.26558214
        -12.45690874          0.26592984
        -12.45490874          0.26627711
        -12.45290874          0.26662396
        -12.45090874          0.26697039
        -12.44890874          0.26731638
        -12.44690874          0.26766196
        -12.44490874          0.26800711
        -12.44290874          0.26835183
        -12.44090874          0.26869613
        -12.43890874          0.26904001
        -12.43690874          0.26938346
        -12.43490874          0.26972648
        -12.43290874          0.27006908
        -12.43090874          0.27041126
        -12.42890874          0.27075308
        -12.42690874          0.27109595
        -12.42490874          0.27144037
        -12.42290874          0.27178636
        -12.42090874          0.27213391
        -12.41890874          0.27248302
        -12.41690874          0.27283369
        -12.41490874          0.27318592
        -12.41290874          0.27353972
        -12.41090874          0.27389507
        -12.40890874          0.27425199
        -12.40690874          0.27461047
        -12.40490874          0.27497051
        -12.40290874          0.27533211
        -12.40090874          0.27569527
        -12.39890874          0.27605999
        -12.39690874          0.27642628
        -12.39490874          0.27679413
        -12.39290874          0.27716354
        -12.39090874          0.27753451
        -12.38890874          0.27790704
        -12.38690874          0.27828113
        -12.38490874          0.27865679
        -12.38290874          0.27903400
        -12.38090874          0.27941278
        -12.37890874          0.27979312
        -12.37690874          0.28017502
        -12.37490874          0.28055848
        -12.37290874          0.28094351
        -12.37090874          0.28133009
        -12.36890874          0.28171824
        -12.36690874          0.28210794
        -12.36490874          0.28249921
        -12.36290874          0.28289204
        -12.36090874          0.28328644
        -12.35890874          0.28368239
        -12.35690874          0.28407991
        -12.35490874          0.28447898
        -12.35290874          0.28487962
        -12.35090874          0.28528182
        -12.34890874          0.28568558
        -12.34690874          0.28609090
        -12.34490874          0.28649779
        -12.34290874          0.28690623
        -12.34090874          0.28731624
        -12.33890874          0.28772781
        -12.33690874          0.28814075
        -12.33490874          0.28855443
        -12.33290874          0.28896880
        -12.33090874          0.28938387
        -12.32890874          0.28979963
        -12.32690874          0.29021608
        -12.32490874          0.29064431
        -12.32290874          0.29108365
        -12.32090874          0.29152322
        -12.31890874          0.29196304
        -12.31690874          0.29240310
        -12.31490874          0.29284341
        -12.31290874          0.29328396
        -12.31090874          0.29372475
        -12.30890874          0.29416579
        -12.30690874          0.29460707
        -12.30490874          0.29504859
        -12.30290874          0.29549036
        -12.30090874          0.29593237
        -12.29890874          0.29637462
        -12.29690874          0.29681712
        -12.29490874          0.29725986
        -12.29290874          0.29770285
        -12.29090874          0.29814608
        -12.28890874          0.29858955
        -12.28690874          0.29903326
        -12.28490874          0.29947722
        -12.28290874          0.29992143
        -12.28090874          0.30036587
        -12.27890874          0.30081056
        -12.27690874          0.30125549
        -12.27490874          0.30170067
        -12.27290874          0.30214609
        -12.27090874          0.30259176
        -12.26890874          0.30303766
        -12.26690874          0.30348382
        -12.26490874          0.30393021
        -12.26290874          0.30437685
        -12.26090874          0.30482373
        -12.25890874          0.30527086
        -12.25690874          0.30571822
        -12.25490874          0.30616584
        -12.25290874          0.30661369
        -12.25090874          0.30706179
        -12.24890874          0.30751014
        -12.24690874          0.30795872
        -12.24490874          0.30840755
        -12.24290874          0.30885663
        -12.24090874          0.30930594
        -12.23890874          0.30975551
        -12.23690874          0.31020531
        -12.23490874          0.31065536
        -12.23290874          0.31110565
        -12.23090874          0.31155618
        -12.22890874          0.31200696
        -12.22690874          0.31245799
        -12.22490874          0.31290925
        -12.22290874          0.31336076
        -12.22090874          0.31381251
        -12.21890874          0.31426451
        -12.21690874          0.31471675
        -12.21490874          0.31516923
        -12.21290874          0.31562196
        -12.21090874          0.31607493
        -12.20890874          0.31652815
        -12.20690874          0.31698160
        -12.20490874          0.31743531
        -12.20290874          0.31788925
        -12.20090874          0.31834344
        -12.19890874          0.31879787
        -12.19690874          0.31925255
        -12.19490874          0.31970747
        -12.19290874          0.32016263
        -12.19090874          0.32061804
        -12.18890874          0.32107369
        -12.18690874          0.32152958
        -12.18490874          0.32198572
        -12.18290874          0.32244210
        -12.18090874          0.32289872
        -12.17890874          0.32335559
        -12.17690874          0.32381270
        -12.17490874          0.32426982
        -12.17290874          0.32472286
        -12.17090874          0.32517029
        -12.16890874          0.32561211
        -12.16690874          0.32604833
        -12.16490874          0.32647894
        -12.16290874          0.32690395
        -12.16090874          0.32732334
